seqnames	start	end	WT_rep1	WT_rep2	mutant1_rep1	mutant1_rep2
1	1	200	0.0552	0.93448	0.50279	0.92546
1	51	250	0.15819	0.87674	0.49738	0.749
1	101	300	0.15819	0.87674	0.49738	0.749
1	151	350	0.73853	0.87674	0.50273	0.49655
1	201	400	0.73853	0.49886	0.50273	0.49655
1	251	450	0.73853	0.49886	0.50273	0.49655
1	301	500	0.73853	0.49886	0.25409	0.49655
1	351	550	0.48454	0.24641	0.3718	0.749
1	401	600	0.48454	0.24641	0.3718	0.749
1	451	650	0.73853	0.24641	0.88914	0.749
1	501	700	0.81782	0.24641	0.92687	0.50349
1	551	750	0.81782	0.49886	0.93174	0.24755
1	601	800	0.12087	0.83512	0.93174	0.24755
1	651	850	0.06354	0.06445	0.25409	0.89158
1	701	900	0.05588	0.06445	0.25409	0.92438
1	751	950	0.05505	0.49886	0.3718	0.92438
1	801	1000	0.11537	0.49886	0.3718	0.92438
1	851	1050	0.11537	0.93389	0.49738	0.49655
1	901	1100	0.11537	0.93389	0.50308	0.49655
1	1151	1350	0.50804	0.92497	0.93338	0.64047
1	1201	1400	0.48454	0.49886	0.93338	0.49655
1	1251	1450	0.24578	0.49886	0.93338	0.24755
1	1301	1500	0.24578	0.49886	0.93338	0.24755
1	1351	1550	0.15819	0.75246	0.50273	0.50349
1	1401	1600	0.15819	0.75246	0.50273	0.50349
1	1451	1650	0.11537	0.91638	0.87486	0.749
1	1501	1700	0.11537	0.91638	0.87486	0.749
1	1551	1750	0.15819	0.90175	0.87486	0.49655
1	1601	1800	0.15819	0.90175	0.87486	0.24755
1	1651	1850	0.48454	0.49886	0.50273	0.24755
1	1701	1900	0.48454	0.49886	0.50273	0.24755
1	1751	1950	0.48454	0.49886	0.69966	0.0731
1	1801	2000	0.48454	0.49886	0.69966	0.08149
1	1851	2050	0.48454	0.50119	0.69966	0.08149
1	1901	2100	0.48454	0.50119	0.69966	0.08149
1	1951	2150	0.48454	0.50119	0.50273	0.49655
1	2001	2200	0.51457	0.62429	0.91175	0.49655
1	2051	2250	0.51457	0.75246	0.91175	0.49655
1	2101	2300	0.51457	0.75246	0.91175	0.749
1	2151	2350	0.51457	0.75246	0.91175	0.749
1	2201	2400	0.24578	0.62429	0.50273	0.749
1	2251	2450	0.24578	0.62429	0.50273	0.83128
1	2301	2500	0.24578	0.62429	0.50273	0.83128
1	2351	2550	0.24578	0.50035	0.50273	0.83128
1	2401	2600	0.48454	0.24641	0.50273	0.83128
1	2451	2650	0.48454	0.24641	0.50273	0.749
1	2501	2700	0.48454	0.50035	0.50273	0.24755
1	2551	2750	0.48454	0.62429	0.50273	0.24755
1	2601	2800	0.48454	0.62429	0.50273	0.24755
1	2651	2850	0.48454	0.62429	0.50273	0.93018
1	2701	2900	0.91384	0.24641	0.25409	0.93018
1	2751	2950	0.91401	0.06323	0.25409	0.93018
1	2801	3000	0.9142	0.06323	0.07499	0.93018
1	2851	3050	0.9142	0.06323	0.07208	0.24755
1	2901	3100	0.9142	0.06323	0.07208	0.23512
1	2951	3150	0.9142	0.83512	0.07208	0.30328
1	3001	3200	0.91419	0.83512	0.0721	0.30328
1	3051	3250	0.91419	0.83512	0.50273	0.30328
1	3101	3300	0.91417	0.24641	0.50273	0.49655
1	3151	3350	0.9141	0.82598	0.50273	0.49655
1	3201	3400	0.63582	0.82598	0.50273	0.49655
1	3251	3450	0.63582	0.82598	0.50273	0.49655
1	3301	3500	0.51457	0.91638	0.50273	0.49655
1	3351	3550	0.24578	0.49886	0.50273	0.76991
1	3401	3600	0.24578	0.49886	0.50273	0.76991
1	3451	3650	0.24578	0.49886	0.50273	0.76991
1	3501	3700	0.81782	0.49886	0.50273	0.06328
1	3551	3750	0.91399	0.49886	0.17121	0.49655
1	3601	3800	0.87282	0.49886	0.49903	0.49655
1	3651	3850	0.74648	0.24641	0.24372	0.49655
1	3701	3900	0.67913	0.24641	0.48977	0.92987
1	3751	3950	0.18329	0.1631	0.50218	0.75094
1	3801	4000	0.38603	0.12132	0.47753	0.86309
1	3851	4050	0.51457	0.1631	0.92687	0.47303
1	3901	4100	0.24578	0.12132	0.93303	0.36143
1	3951	4150	0.73853	0.1631	0.93273	0.06291
1	4001	4200	0.88276	0.1631	0.93303	0.06291
1	4051	4250	0.88276	0.1631	0.90836	0.50349
1	4101	4300	0.88276	0.50119	0.49738	0.50349
1	4151	4350	0.85836	0.50119	0.49738	0.50349
1	4201	4400	0.48454	0.75246	0.25409	0.49655
1	4251	4450	0.48454	0.75246	0.50273	0.49655
1	4301	4500	0.48454	0.49886	0.50273	0.83128
1	4351	4550	0.73853	0.49886	0.25409	0.87271
1	4401	4600	0.73853	0.75246	0.25409	0.89759
1	4451	4650	0.73853	0.75246	0.25409	0.89759
1	4501	4700	0.73853	0.75246	0.49738	0.83128
1	4551	4750	0.73853	0.75246	0.3718	0.87271
1	4601	4800	0.73853	0.49886	0.3718	0.83128
1	4651	4850	0.73853	0.49886	0.3718	0.83128
1	4701	4900	0.73853	0.24641	0.17121	0.27807
1	4751	4950	0.48454	0.24641	0.50273	0.06291
1	4801	5000	0.48454	0.24641	0.50273	0.06291
1	4851	5050	0.48454	0.24641	0.50273	0.06291
1	4901	5100	0.48454	0.49886	0.50273	0.06291
1	4951	5150	0.48454	0.49886	0.25409	0.24755
1	5001	5200	0.8987	0.49886	0.45547	0.30328
1	5051	5250	0.8987	0.06324	0.07208	0.30328
1	5101	5300	0.8987	0.06324	0.07208	0.30328
1	5151	5350	0.8987	0.06324	0.07208	0.37808
1	5201	5400	0.73853	0.06324	0.07208	0.49655
1	5251	5450	0.73853	0.75246	0.25409	0.49655
1	5301	5500	0.73853	0.83512	0.07208	0.49655
1	5351	5550	0.81782	0.62429	0.07208	0.49655
1	5401	5600	0.73853	0.62429	0.07208	0.49655
1	5451	5650	0.81782	0.50035	0.07208	0.50349
1	5501	5700	0.81782	0.37749	0.49738	0.50349
1	5551	5750	0.73853	0.93448	0.3718	0.37808
1	5601	5800	0.73853	0.93448	0.17121	0.37808
1	5651	5850	0.73853	0.93448	0.25409	0.50349
1	5701	5900	0.73853	0.93448	0.25409	0.50349
1	5751	5950	0.73853	0.75246	0.50273	0.749
1	5801	6000	0.73853	0.75246	0.50273	0.749
1	5851	6050	0.11537	0.89687	0.49738	0.49655
1	5901	6100	0.11537	0.89687	0.49738	0.49655
1	5951	6150	0.31097	0.89687	0.49738	0.49655
1	6001	6200	0.31097	0.89687	0.49738	0.49655
1	6051	6250	0.73853	0.49886	0.50273	0.49655
1	6101	6300	0.73853	0.49886	0.50273	0.49655
1	6151	6350	0.73853	0.24641	0.50273	0.24755
1	6201	6400	0.73853	0.24641	0.50273	0.24755
1	6251	6450	0.73853	0.24641	0.50273	0.24755
1	6301	6500	0.73853	0.24641	0.87486	0.70207
1	6351	6550	0.73853	0.49886	0.76701	0.93018
1	6401	6600	0.73853	0.49886	0.76701	0.93018
1	6451	6650	0.73853	0.49886	0.76701	0.93018
1	6501	6700	0.51457	0.49886	0.45547	0.93016
1	6551	6750	0.24578	0.09623	0.3718	0.49655
1	6601	6800	0.24578	0.09623	0.3718	0.49655
1	6651	6850	0.24578	0.09623	0.3718	0.50349
1	6701	6900	0.48454	0.09623	0.50273	0.50349
1	6751	6950	0.24578	0.49886	0.50273	0.50349
1	6801	7000	0.24578	0.49886	0.50273	0.37808
1	6851	7050	0.51457	0.49886	0.3718	0.70207
1	6901	7100	0.51457	0.49886	0.3718	0.70207
1	6951	7150	0.73853	0.49886	0.3718	0.70207
1	7001	7200	0.73853	0.24641	0.3718	0.87271
1	7051	7250	0.48454	0.24641	0.50273	0.49655
1	7101	7300	0.48454	0.24641	0.50273	0.49655
1	7151	7350	0.48454	0.24641	0.50273	0.49655
1	7201	7400	0.73853	0.49886	0.74866	0.49655
1	7251	7450	0.73853	0.49886	0.74866	0.49655
1	7301	7500	0.73853	0.49886	0.74866	0.49655
1	7351	7550	0.73853	0.49886	0.74866	0.49655
1	7401	7600	0.48454	0.24641	0.25409	0.49655
1	7451	7650	0.48454	0.50119	0.13313	0.49655
1	7501	7700	0.48454	0.50119	0.09158	0.49655
1	7551	7750	0.48454	0.50119	0.09158	0.49655
1	7601	7800	0.48454	0.83512	0.1071	0.49655
1	7651	7850	0.48454	0.75246	0.17121	0.49655
1	7701	7900	0.0549	0.75246	0.50273	0.24755
1	7751	7950	0.0549	0.75246	0.50273	0.24755
1	7801	8000	0.0549	0.49886	0.50273	0.24755
1	7851	8050	0.0549	0.49886	0.50273	0.24755
1	7901	8100	0.48454	0.49886	0.50273	0.49655
