seqnames	start	end	context	posteriorMax	status	rc.meth.lvl
1	1	200	CHH	1	I	0.50456
1	51	250	CHH	0.97749	U	0.1799
1	101	300	CHH	0.5709	I	0.36205
1	151	350	CHH	0.67914	I	0.39825
1	201	400	CHH	0.99999	U	0.17242
1	251	450	CHH	0.99999	U	0.17242
1	301	500	CHH	0.99999	U	0.17242
1	351	550	CHH	0.99999	U	0.17242
1	401	600	CHH	0.99289	U	0.17478
1	451	650	CHH	0.99999	U	0.17242
1	501	700	CHH	0.99999	U	0.17242
1	551	750	CHH	0.99996	U	0.17243
1	601	800	CHH	0.99999	U	0.17242
1	651	850	CHH	0.99999	U	0.17243
1	701	900	CHH	0.99999	U	0.17242
1	751	950	CHH	0.99999	U	0.17242
1	801	1000	CHH	0.99959	U	0.17256
1	851	1050	CHH	0.93625	U	0.1936
1	901	1100	CHH	0.99999	I	0.50456
1	951	1150	CHH	0.98626	U	0.17699
1	1001	1200	CHH	0.94829	I	0.48738
1	1051	1250	CHH	0.99304	I	0.50225
1	1151	1350	CHH	0.73284	I	0.44203
1	1201	1400	CHH	0.8365	I	0.49986
1	1251	1450	CHH	0.99772	M	0.83593
1	1301	1500	CHH	0.99999	I	0.50456
1	1351	1550	CHH	0.99999	I	0.50456
1	1401	1600	CHH	0.99999	I	0.50456
1	1451	1650	CHH	0.80577	U	0.23693
1	1501	1700	CHH	0.99999	U	0.17242
1	1551	1750	CHH	0.99999	U	0.17242
1	1601	1800	CHH	0.99999	U	0.17242
1	1651	1850	CHH	0.99999	U	0.17242
1	1701	1900	CHH	0.99996	M	0.83668
1	1751	1950	CHH	0.99999	I	0.50456
1	1801	2000	CHH	0.99999	I	0.50456
1	1851	2050	CHH	0.99999	I	0.50456
1	1901	2100	CHH	0.99999	U	0.17242
1	1951	2150	CHH	0.99999	M	0.83669
1	2001	2200	CHH	0.99944	M	0.8365
1	2051	2250	CHH	0.99987	I	0.50451
1	2101	2300	CHH	0.99987	I	0.50451
1	2151	2350	CHH	0.99999	U	0.17242
1	2201	2400	CHH	0.99986	U	0.17247
1	2251	2450	CHH	0.99967	I	0.50445
1	2301	2500	CHH	0.99946	I	0.50438
1	2351	2550	CHH	0.98305	M	0.83106
1	2401	2600	CHH	0.70857	I	0.59935
1	2451	2650	CHH	0.57074	I	0.64431
1	2501	2700	CHH	0.64982	M	0.72036
1	2551	2750	CHH	0.99696	I	0.50355
1	2601	2800	CHH	0.99999	U	0.17242
1	2651	2850	CHH	0.99999	U	0.17242
1	2701	2900	CHH	0.99999	U	0.17242
1	2751	2950	CHH	0.99999	U	0.17242
1	2801	3000	CHH	0.99999	U	0.17242
1	2851	3050	CHH	0.99999	U	0.17242
1	2901	3100	CHH	0.99999	I	0.50456
1	2951	3150	CHH	0.97572	I	0.51262
1	3001	3200	CHH	0.99983	M	0.83663
1	3051	3250	CHH	0.99541	M	0.83517
1	3101	3300	CHH	0.59105	U	0.30851
1	3151	3350	CHH	0.77161	U	0.2486
1	3601	3800	CHH	0.99541	I	0.50608
1	3651	3850	CHH	0.56964	I	0.64749
1	3701	3900	CHH	0.56573	U	0.31666
1	3751	3950	CHH	0.99999	U	0.17242
1	3801	4000	CHH	0.99892	U	0.17278
1	3851	4050	CHH	0.99453	U	0.17424
1	3901	4100	CHH	0.99999	I	0.50455
1	3951	4150	CHH	0.99623	M	0.83544
1	4001	4200	CHH	0.96637	M	0.82552
1	4051	4250	CHH	0.99998	I	0.50455
1	4101	4300	CHH	0.99993	I	0.50453
1	4151	4350	CHH	0.99943	I	0.50437
1	4201	4400	CHH	0.99995	I	0.50457
1	4251	4450	CHH	0.99991	M	0.83666
1	4301	4500	CHH	0.99997	M	0.83668
1	4351	4550	CHH	0.99999	M	0.83669
1	4401	4600	CHH	0.985	I	0.50954
1	4451	4650	CHH	0.75958	I	0.5844
1	4501	4700	CHH	0.99961	M	0.83656
1	4551	4750	CHH	0.99999	I	0.50456
1	4601	4800	CHH	0.99909	M	0.83639
1	4651	4850	CHH	0.99864	M	0.83624
1	4701	4900	CHH	0.99778	I	0.50529
1	4751	4950	CHH	0.88758	M	0.79935
1	4801	5000	CHH	0.51081	M	0.67421
1	4851	5050	CHH	0.99553	I	0.50604
1	4901	5100	CHH	0.99482	I	0.50545
1	4951	5150	CHH	0.98796	I	0.5015
1	5001	5200	CHH	0.94634	I	0.48773
1	5051	5250	CHH	0.66752	I	0.39555
1	5101	5300	CHH	0.99996	M	0.83667
1	5151	5350	CHH	0.99851	I	0.50406
1	5201	5400	CHH	0.99999	I	0.50456
1	5251	5450	CHH	0.99999	I	0.50456
1	5301	5500	CHH	0.99911	I	0.50426
1	5351	5550	CHH	0.99999	I	0.50456
1	5401	5600	CHH	0.95585	I	0.51922
1	5451	5650	CHH	0.92886	I	0.52818
1	5501	5700	CHH	0.9933	I	0.50678
1	5551	5750	CHH	0.84917	M	0.78659
1	5601	5800	CHH	0.93933	M	0.81654
1	5651	5850	CHH	0.83616	M	0.78227
1	5701	5900	CHH	0.99231	M	0.83414
1	5751	5950	CHH	0.70857	I	0.59935
1	5801	6000	CHH	0.89499	I	0.47924
1	5851	6050	CHH	0.65072	I	0.39622
1	5901	6100	CHH	0.88105	U	0.21201
1	5951	6150	CHH	0.72294	U	0.26621
1	6001	6200	CHH	0.99999	M	0.83669
1	6051	6250	CHH	0.99999	M	0.83669
1	6101	6300	CHH	1	M	0.83669
1	6151	6350	CHH	1	M	0.83669
1	6201	6400	CHH	0.99999	M	0.83669
1	6251	6450	CHH	0.9518	U	0.18843
1	6301	6500	CHH	0.79391	U	0.24087
1	6351	6550	CHH	0.68963	I	0.40152
1	6401	6600	CHH	0.99459	U	0.17422
1	6451	6650	CHH	0.82487	I	0.44639
1	6501	6700	CHH	0.50925	U	0.33542
1	6551	6750	CHH	0.7473	I	0.42063
1	6601	6800	CHH	0.89047	I	0.54011
1	6651	6850	CHH	0.99723	M	0.83577
1	6701	6900	CHH	0.99944	M	0.8365
1	6751	6950	CHH	0.99999	M	0.83669
1	6801	7000	CHH	0.99999	M	0.83669
1	6851	7050	CHH	0.99998	M	0.83668
1	6901	7100	CHH	0.99969	M	0.83659
1	6951	7150	CHH	0.62031	I	0.63054
1	7001	7200	CHH	0.99999	U	0.17242
1	7051	7250	CHH	0.99999	U	0.17242
1	7101	7300	CHH	0.99999	U	0.17242
1	7151	7350	CHH	0.99999	U	0.17242
1	7201	7400	CHH	0.99989	U	0.17246
1	7251	7450	CHH	0.99996	I	0.50457
1	7301	7500	CHH	0.9994	I	0.50475
1	7351	7550	CHH	0.99995	M	0.83667
1	7401	7600	CHH	0.98968	I	0.50798
1	7451	7650	CHH	0.99999	I	0.50456
1	7501	7700	CHH	0.99999	I	0.50456
1	7551	7750	CHH	0.99999	I	0.50456
1	7601	7800	CHH	0.79391	U	0.24087
1	7651	7850	CHH	0.8666	I	0.46035
1	7701	7900	CHH	0.99999	M	0.83669
1	7751	7950	CHH	0.99999	M	0.83669
1	7801	8000	CHH	0.99999	M	0.83669
1	7851	8050	CHH	1	M	0.83669
1	7901	8100	CHH	0.69927	M	0.73681
1	7951	8150	CHH	0.70474	I	0.60262
1	8001	8200	CHH	0.99086	I	0.50152
1	8051	8250	CHH	0.99999	U	0.17242
1	8101	8300	CHH	0.99869	I	0.50412
1	8151	8350	CHH	0.99998	I	0.50455
1	8201	8400	CHH	0.99242	M	0.83417
1	8251	8450	CHH	0.99908	M	0.83638
1	8301	8500	CHH	0.89047	I	0.54011
1	8351	8550	CHH	0.89499	I	0.47924
1	8401	8600	CHH	0.6799	I	0.60106
1	8451	8650	CHH	0.89432	M	0.80159
1	8501	8700	CHH	0.9588	M	0.823
1	8551	8750	CHH	0.97928	U	0.17931
1	8601	8800	CHH	0.96586	U	0.18376
