seqnames	start	end	WT_rep1	WT_rep2	mutant1_rep1	mutant1_rep2
1	1	200	0.49604	0.50456	0.17091	0.8309
1	51	250	0.49604	0.1799	0.19015	0.8309
1	101	300	0.49605	0.36205	0.43581	0.8309
1	151	350	0.83576	0.39825	0.68726	0.8309
1	201	400	0.83589	0.17242	0.64674	0.8309
1	251	450	0.83578	0.17242	0.81981	0.8309
1	301	500	0.83289	0.17242	0.81981	0.8309
1	351	550	0.49642	0.17242	0.81981	0.8309
1	401	600	0.49604	0.17478	0.81979	0.83055
1	451	650	0.49604	0.17242	0.50235	0.49608
1	501	700	0.49604	0.17242	0.50624	0.53681
1	551	750	0.83478	0.17243	0.69064	0.49401
1	601	800	0.83589	0.17242	0.81981	0.17155
1	651	850	0.83589	0.17243	0.81981	0.49354
1	701	900	0.83589	0.17242	0.81981	0.3202
1	751	950	0.83589	0.17242	0.81981	0.15742
1	801	1000	0.46676	0.17256	0.49536	0.15747
1	851	1050	0.83061	0.1936	0.17274	0.15742
1	901	1100	0.49604	0.50456	0.17091	0.49416
1	951	1150	0.49604	0.17699	0.17091	0.49416
1	1001	1200	0.49605	0.48738	0.31106	0.49416
1	1051	1250	0.21426	0.50225	0.39507	0.69912
1	1151	1350	0.42819	0.44203	0.47499	0.8309
1	1201	1400	0.46833	0.49986	0.4982	0.8309
1	1251	1450	0.4138	0.83593	0.52357	0.55382
1	1301	1500	0.47907	0.50456	0.47499	0.49416
1	1351	1550	0.59812	0.50456	0.46164	0.47033
1	1401	1600	0.83586	0.50456	0.17578	0.48618
1	1451	1650	0.49604	0.23693	0.25871	0.49416
1	1501	1700	0.49655	0.17242	0.30482	0.15942
1	1551	1750	0.49604	0.17242	0.49542	0.4617
1	1601	1800	0.48896	0.17242	0.59332	0.46515
1	1651	1850	0.49604	0.17242	0.49539	0.49354
1	1701	1900	0.34023	0.83668	0.49677	0.49394
1	1751	1950	0.15618	0.50456	0.71021	0.76371
1	1801	2000	0.83519	0.50456	0.81925	0.81583
1	1851	2050	0.82511	0.50456	0.81981	0.64702
1	1901	2100	0.7866	0.17242	0.81981	0.50874
1	1951	2150	0.7866	0.83669	0.46164	0.46103
1	2001	2200	0.30603	0.8365	0.46164	0.17224
1	2051	2250	0.58551	0.50451	0.81981	0.16545
1	2101	2300	0.83589	0.50451	0.81981	0.15742
1	2151	2350	0.49604	0.17242	0.81981	0.15742
1	2201	2400	0.49595	0.17247	0.81981	0.49448
1	2251	2450	0.49558	0.50445	0.34478	0.49576
1	2301	2500	0.15618	0.50438	0.60648	0.8309
1	2351	2550	0.1562	0.83106	0.72808	0.8309
1	2401	2600	0.474	0.59935	0.80971	0.83072
1	2451	2650	0.474	0.64431	0.79301	0.8309
1	2501	2700	0.49603	0.72036	0.49629	0.49423
1	2551	2750	0.49602	0.50355	0.49953	0.49416
1	2601	2800	0.49684	0.17242	0.43241	0.49418
1	2651	2850	0.71942	0.17242	0.45436	0.49416
1	2701	2900	0.49604	0.17242	0.72858	0.48963
1	2751	2950	0.49604	0.17242	0.18373	0.82679
1	2801	3000	0.15636	0.17242	0.17545	0.7974
1	2851	3050	0.15618	0.17242	0.33326	0.4942
1	2901	3100	0.18999	0.50456	0.24991	0.49586
1	2951	3150	0.15618	0.51262	0.17301	0.49414
1	3001	3200	0.15619	0.83663	0.17229	0.49384
1	3051	3250	0.15664	0.83517	0.17092	0.44538
1	3101	3300	0.49604	0.30851	0.17091	0.1788
1	3151	3350	0.83589	0.2486	0.17091	0.16647
1	3601	3800	0.45773	0.50608	0.4951	0.49416
1	3651	3850	0.83376	0.64749	0.49115	0.49416
1	3701	3900	0.83462	0.31666	0.17091	0.46825
1	3751	3950	0.83462	0.17242	0.17091	0.39196
1	3801	4000	0.83358	0.17278	0.17091	0.49574
1	3851	4050	0.15619	0.17424	0.17091	0.30643
1	3901	4100	0.15619	0.50455	0.75682	0.38104
1	3951	4150	0.15619	0.83544	0.17091	0.58588
1	4001	4200	0.15619	0.82552	0.17091	0.50131
1	4051	4250	0.15618	0.50455	0.17091	0.23063
1	4101	4300	0.49602	0.50453	0.17091	0.31456
1	4151	4350	0.496	0.50437	0.35659	0.31456
1	4201	4400	0.49436	0.50457	0.17093	0.53782
1	4251	4450	0.83386	0.83666	0.17099	0.83089
1	4301	4500	0.15618	0.83668	0.17099	0.83083
1	4351	4550	0.15618	0.83669	0.196	0.82986
1	4401	4600	0.15619	0.50954	0.72576	0.49416
1	4451	4650	0.15618	0.5844	0.49531	0.35254
1	4501	4700	0.15618	0.83656	0.49543	0.15744
1	4551	4750	0.49604	0.50456	0.4967	0.15742
1	4601	4800	0.49604	0.83639	0.49619	0.15743
1	4651	4850	0.83589	0.83624	0.81897	0.15742
1	4701	4900	0.83589	0.50529	0.77522	0.15789
1	4751	4950	0.83589	0.79935	0.49508	0.15742
1	4801	5000	0.83589	0.67421	0.49555	0.15759
1	4851	5050	0.81368	0.50604	0.49953	0.15742
1	4901	5100	0.49583	0.50545	0.48749	0.15742
1	4951	5150	0.20254	0.5015	0.57376	0.49416
1	5001	5200	0.27097	0.48773	0.17229	0.49416
1	5051	5250	0.49616	0.39555	0.17091	0.83087
1	5101	5300	0.83364	0.83667	0.17091	0.8309
1	5151	5350	0.65924	0.50406	0.17091	0.59522
1	5201	5400	0.52859	0.50456	0.17091	0.22276
1	5251	5450	0.8354	0.50456	0.17091	0.60223
1	5301	5500	0.47907	0.50426	0.17783	0.82126
