seqnames	start	end	WT_rep1	WT_rep2	mutant1_rep1	mutant1_rep2
1	1	200	1	1	0	1
1	51	250	1	0	0	1
1	101	300	1	1	1	1
1	151	350	1	1	1	1
1	201	400	1	0	1	1
1	251	450	1	0	1	1
1	301	500	1	0	1	1
1	351	550	1	0	1	1
1	401	600	1	0	1	1
1	451	650	1	0	1	1
1	501	700	1	0	1	1
1	551	750	1	0	1	1
1	601	800	1	0	1	0
1	651	850	1	0	1	1
1	701	900	1	0	1	0
1	751	950	1	0	1	0
1	801	1000	1	0	1	0
1	851	1050	1	0	0	0
1	901	1100	1	1	0	1
1	951	1150	1	0	0	1
1	1001	1200	1	1	0	1
1	1051	1250	0	1	1	1
1	1151	1350	1	1	1	1
1	1201	1400	1	1	1	1
1	1251	1450	1	1	1	1
1	1301	1500	1	1	1	1
1	1351	1550	1	1	1	1
1	1401	1600	1	1	0	1
1	1451	1650	1	0	0	1
1	1501	1700	1	0	0	0
1	1551	1750	1	0	1	1
1	1601	1800	1	0	1	1
1	1651	1850	1	0	1	1
1	1701	1900	1	1	1	1
1	1751	1950	0	1	1	1
1	1801	2000	1	1	1	1
1	1851	2050	1	1	1	1
1	1901	2100	1	0	1	1
1	1951	2150	1	1	1	1
1	2001	2200	0	1	1	0
1	2051	2250	1	1	1	0
1	2101	2300	1	1	1	0
1	2151	2350	1	0	1	0
1	2201	2400	1	0	1	1
1	2251	2450	1	1	1	1
1	2301	2500	0	1	1	1
1	2351	2550	0	1	1	1
1	2401	2600	1	1	1	1
1	2451	2650	1	1	1	1
1	2501	2700	1	1	1	1
1	2551	2750	1	1	1	1
1	2601	2800	1	0	1	1
1	2651	2850	1	0	1	1
1	2701	2900	1	0	1	1
1	2751	2950	1	0	0	1
1	2801	3000	0	0	0	1
1	2851	3050	0	0	1	1
1	2901	3100	0	1	0	1
1	2951	3150	0	1	0	1
1	3001	3200	0	1	0	1
1	3051	3250	0	1	0	1
1	3101	3300	1	0	0	0
1	3151	3350	1	0	0	0
1	3601	3800	1	1	1	1
1	3651	3850	1	1	1	1
1	3701	3900	1	0	0	1
1	3751	3950	1	0	0	1
1	3801	4000	1	0	0	1
1	3851	4050	0	0	0	0
1	3901	4100	0	1	1	1
1	3951	4150	0	1	0	1
1	4001	4200	0	1	0	1
1	4051	4250	0	1	0	0
1	4101	4300	1	1	0	0
1	4151	4350	1	1	1	0
1	4201	4400	1	1	0	1
1	4251	4450	1	1	0	1
1	4301	4500	0	1	0	1
1	4351	4550	0	1	0	1
1	4401	4600	0	1	1	1
1	4451	4650	0	1	1	1
1	4501	4700	0	1	1	0
1	4551	4750	1	1	1	0
1	4601	4800	1	1	1	0
1	4651	4850	1	1	1	0
1	4701	4900	1	1	1	0
1	4751	4950	1	1	1	0
1	4801	5000	1	1	1	0
1	4851	5050	1	1	1	0
1	4901	5100	1	1	1	0
1	4951	5150	0	1	1	1
1	5001	5200	0	1	0	1
1	5051	5250	1	1	0	1
1	5101	5300	1	1	0	1
1	5151	5350	1	1	0	1
1	5201	5400	1	1	0	0
1	5251	5450	1	1	0	1
1	5301	5500	1	1	0	1
1	5351	5550	1	1	1	1
1	5401	5600	1	1	1	1
1	5451	5650	1	1	1	1
1	5501	5700	1	1	1	1
1	5551	5750	1	1	1	0
1	5601	5800	0	1	1	0
1	5651	5850	1	1	1	0
1	5701	5900	1	1	1	0
1	5751	5950	1	1	1	0
1	5801	6000	1	1	1	0
1	5851	6050	1	1	1	0
1	5901	6100	1	0	1	0
1	5951	6150	1	0	1	0
1	6001	6200	1	1	1	1
1	6051	6250	1	1	1	1
1	6101	6300	1	1	1	1
1	6151	6350	1	1	1	1
1	6201	6400	1	1	1	0
1	6251	6450	0	0	1	0
1	6301	6500	1	0	1	0
1	6351	6550	1	1	1	1
1	6401	6600	0	0	1	1
1	6451	6650	0	1	0	1
1	6501	6700	0	0	0	1
1	6551	6750	0	1	0	0
1	6601	6800	1	1	0	0
1	6651	6850	1	1	0	1
1	6701	6900	1	1	0	1
1	6751	6950	1	1	0	1
1	6801	7000	0	1	0	1
1	6851	7050	0	1	0	1
1	6901	7100	0	1	0	1
1	6951	7150	0	1	0	1
1	7001	7200	1	0	1	1
1	7051	7250	1	0	1	1
1	7101	7300	1	0	1	1
1	7151	7350	1	0	1	1
1	7201	7400	1	0	1	1
1	7251	7450	1	1	1	1
1	7301	7500	1	1	1	0
1	7351	7550	1	1	0	1
1	7401	7600	1	1	1	0
1	7451	7650	1	1	1	1
1	7501	7700	1	1	1	1
1	7551	7750	1	1	1	0
1	7601	7800	1	0	1	0
1	7651	7850	1	1	1	1
1	7701	7900	1	1	0	1
1	7751	7950	1	1	0	1
1	7801	8000	1	1	1	1
1	7851	8050	1	1	1	1
1	7901	8100	0	1	1	1
1	7951	8150	0	1	1	1
1	8001	8200	0	1	1	1
1	8051	8250	0	0	1	1
1	8101	8300	0	1	0	1
1	8151	8350	0	1	1	1
1	8201	8400	1	1	1	1
1	8251	8450	1	1	1	1
1	8301	8500	1	1	1	0
1	8351	8550	1	1	1	0
1	8401	8600	1	1	1	0
1	8451	8650	1	1	1	0
1	8501	8700	1	1	1	1
1	8551	8750	1	0	1	1
1	8601	8800	1	0	1	1
1	8651	8850	1	0	1	1
1	8701	8900	1	1	1	1
1	8751	8950	1	1	1	1
1	8801	9000	1	1	1	1
1	8851	9050	1	1	1	1
1	8901	9100	1	1	1	1
1	9051	9250	1	1	0	1
1	9101	9300	1	1	1	1
1	9151	9350	1	1	1	1
1	9201	9400	1	1	1	0
1	9251	9450	1	1	1	0
1	9301	9500	1	1	1	0
1	9351	9550	1	1	1	0
1	9401	9600	1	1	1	0
1	9451	9650	0	0	1	0
1	9501	9700	1	0	1	0
1	9551	9750	1	0	1	1
1	9601	9800	1	1	1	0
1	9651	9850	1	1	1	1
1	9701	9900	1	1	1	1
1	9751	9950	1	0	1	0
1	9801	10000	1	0	1	1
