seqnames	start	end	context	posteriorMax	status	rc.meth.lvl
1	1	200	CHG	0.97683	U	0.0763
1	51	250	CHG	0.33333	U	0.50414
1	101	300	CHG	0.33333	U	0.50414
1	401	600	CHG	0.36299	U	0.47456
1	451	650	CHG	0.33333	U	0.50414
1	501	700	CHG	0.33333	U	0.50414
1	551	750	CHG	0.33333	U	0.50414
1	651	850	CHG	0.33333	U	0.50414
1	701	900	CHG	0.33333	U	0.50414
1	751	950	CHG	0.33333	U	0.50414
1	801	1000	CHG	0.33333	U	0.50414
1	851	1050	CHG	0.33333	U	0.50414
1	901	1100	CHG	0.33333	U	0.50414
1	1001	1200	CHG	0.33333	U	0.50414
1	1051	1250	CHG	0.99383	M	0.93943
1	1101	1300	CHG	0.99383	M	0.93943
1	1151	1350	CHG	0.99383	M	0.93943
1	1201	1400	CHG	0.99383	M	0.93943
1	1251	1450	CHG	0.33333	U	0.50414
1	1301	1500	CHG	0.33333	U	0.50414
1	1401	1600	CHG	0.33333	U	0.50414
1	1451	1650	CHG	0.62776	U	0.24622
1	1501	1700	CHG	0.62776	U	0.24622
1	1551	1750	CHG	0.62776	U	0.24622
1	1651	1850	CHG	0.33333	U	0.50414
1	1701	1900	CHG	0.33333	U	0.50414
1	1751	1950	CHG	0.33333	U	0.50414
1	1801	2000	CHG	0.33333	U	0.50414
1	1851	2050	CHG	0.33333	U	0.50414
1	1901	2100	CHG	0.33333	U	0.50414
1	1951	2150	CHG	0.33333	U	0.50414
1	2451	2650	CHG	0.36299	U	0.47456
1	2501	2700	CHG	0.33333	U	0.50414
1	2551	2750	CHG	0.33333	U	0.50414
1	2601	2800	CHG	0.33333	U	0.50414
1	2701	2900	CHG	0.62292	M	0.75782
1	2751	2950	CHG	0.62292	M	0.75782
1	2801	3000	CHG	0.77442	M	0.84166
1	2951	3150	CHG	0.62292	M	0.75782
1	3001	3200	CHG	0.99999	I	0.50414
1	3051	3250	CHG	0.99999	I	0.50414
1	3101	3300	CHG	0.99999	I	0.50414
1	3151	3350	CHG	0.99999	I	0.50414
1	3201	3400	CHG	0.69445	I	0.61824
1	3251	3450	CHG	0.69445	I	0.61824
1	3301	3500	CHG	0.68248	I	0.49545
1	3351	3550	CHG	0.68248	I	0.49545
1	3401	3600	CHG	0.33333	U	0.50414
1	3451	3650	CHG	0.99999	U	0.06615
1	3501	3700	CHG	0.99999	U	0.06615
1	3551	3750	CHG	0.99999	U	0.06615
1	3601	3800	CHG	0.99999	U	0.06615
1	3651	3850	CHG	0.68248	I	0.49545
1	3701	3900	CHG	0.99999	U	0.06615
1	3751	3950	CHG	0.99999	U	0.06615
1	3801	4000	CHG	0.99999	U	0.06616
1	3851	4050	CHG	0.99999	U	0.06615
1	3901	4100	CHG	0.97009	M	0.92903
1	3951	4150	CHG	0.8088	I	0.58788
1	4001	4200	CHG	0.93657	I	0.53189
1	4051	4250	CHG	0.8877	I	0.55332
1	4101	4300	CHG	0.67073	I	0.37488
1	4151	4350	CHG	0.97706	M	0.93208
1	4201	4400	CHG	0.97706	M	0.93208
1	4251	4450	CHG	0.72674	M	0.82244
1	4301	4500	CHG	0.99999	U	0.06615
1	4351	4550	CHG	0.99999	U	0.06615
1	4401	4600	CHG	0.99999	U	0.06615
1	4451	4650	CHG	0.99999	U	0.06615
1	4501	4700	CHG	0.99491	U	0.06838
1	4551	4750	CHG	0.95097	I	0.52561
1	4601	4800	CHG	0.79103	M	0.85061
1	4651	4850	CHG	0.99971	I	0.50402
1	4701	4900	CHG	0.64735	U	0.22061
1	4751	4950	CHG	0.80586	I	0.41912
1	4801	5000	CHG	0.93328	U	0.09538
1	4851	5050	CHG	0.58719	M	0.76123
1	4901	5100	CHG	0.99944	M	0.94189
1	4951	5150	CHG	0.99897	M	0.94168
1	5001	5200	CHG	0.99529	M	0.94007
1	5051	5250	CHG	0.90965	M	0.90256
1	5101	5300	CHG	0.97516	I	0.50212
1	5151	5350	CHG	0.9953	I	0.50577
1	5201	5400	CHG	0.97908	I	0.5116
1	5251	5450	CHG	0.99999	M	0.94213
1	5301	5500	CHG	0.99999	M	0.94213
1	5351	5550	CHG	0.99999	M	0.94213
1	5401	5600	CHG	0.99999	M	0.94213
1	5451	5650	CHG	0.58719	M	0.76123
1	5501	5700	CHG	0.58719	M	0.76123
1	5551	5750	CHG	0.58719	M	0.76123
1	5601	5800	CHG	0.69445	I	0.61824
1	5651	5850	CHG	0.69445	I	0.61824
1	5701	5900	CHG	0.69445	I	0.61824
1	5901	6100	CHG	0.61736	I	0.53064
1	5951	6150	CHG	0.33333	U	0.50414
1	6001	6200	CHG	0.99999	M	0.94213
1	6051	6250	CHG	0.99999	M	0.94213
