seqnames	start	end	context	posteriorMax	status	rc.meth.lvl
1	1	200	CHH	0.99999	M	0.8309
1	51	250	CHH	0.99999	M	0.8309
1	101	300	CHH	0.99999	M	0.8309
1	151	350	CHH	0.99999	M	0.8309
1	201	400	CHH	0.99999	M	0.8309
1	251	450	CHH	0.99999	M	0.8309
1	301	500	CHH	0.99999	M	0.8309
1	351	550	CHH	0.99999	M	0.8309
1	401	600	CHH	0.99898	M	0.83055
1	451	650	CHH	0.99429	I	0.49608
1	501	700	CHH	0.87333	I	0.53681
1	551	750	CHH	0.99955	I	0.49401
1	601	800	CHH	0.95802	U	0.17155
1	651	850	CHH	0.99817	I	0.49354
1	701	900	CHH	0.51659	U	0.3202
1	751	950	CHH	0.99999	U	0.15742
1	801	1000	CHH	0.99985	U	0.15747
1	851	1050	CHH	0.99999	U	0.15742
1	901	1100	CHH	0.99999	I	0.49416
1	951	1150	CHH	0.99999	I	0.49416
1	1001	1200	CHH	0.99999	I	0.49416
1	1051	1250	CHH	0.60865	M	0.69912
1	1151	1350	CHH	0.99999	M	0.8309
1	1201	1400	CHH	0.99999	M	0.8309
1	1251	1450	CHH	0.82283	I	0.55382
1	1301	1500	CHH	0.99999	I	0.49416
1	1351	1550	CHH	0.92923	I	0.47033
1	1401	1600	CHH	0.97631	I	0.48618
1	1451	1650	CHH	0.99999	I	0.49416
1	1501	1700	CHH	0.99405	U	0.15942
1	1551	1750	CHH	0.90361	I	0.4617
1	1601	1800	CHH	0.91383	I	0.46515
1	1651	1850	CHH	0.99817	I	0.49354
1	1701	1900	CHH	0.99934	I	0.49394
1	1751	1950	CHH	0.8005	M	0.76371
1	1801	2000	CHH	0.95526	M	0.81583
1	1851	2050	CHH	0.54081	I	0.64702
1	1901	2100	CHH	0.94326	I	0.50874
1	1951	2150	CHH	0.89046	I	0.46103
1	2001	2200	CHH	0.95598	U	0.17224
1	2051	2250	CHH	0.97614	U	0.16545
1	2101	2300	CHH	0.99999	U	0.15742
1	2151	2350	CHH	0.99999	U	0.15742
1	2201	2400	CHH	0.99904	I	0.49448
1	2251	2450	CHH	0.99523	I	0.49576
1	2301	2500	CHH	0.99999	M	0.8309
1	2351	2550	CHH	0.99999	M	0.8309
1	2401	2600	CHH	0.99948	M	0.83072
1	2451	2650	CHH	0.99999	M	0.8309
1	2501	2700	CHH	0.99978	I	0.49423
1	2551	2750	CHH	0.99999	I	0.49416
1	2601	2800	CHH	0.99992	I	0.49418
1	2651	2850	CHH	0.99999	I	0.49416
1	2701	2900	CHH	0.97498	I	0.48963
1	2751	2950	CHH	0.9878	M	0.82679
1	2801	3000	CHH	0.90052	M	0.7974
1	2851	3050	CHH	0.99988	I	0.4942
1	2901	3100	CHH	0.99496	I	0.49586
1	2951	3150	CHH	0.99994	I	0.49414
1	3001	3200	CHH	0.99904	I	0.49384
1	3051	3250	CHH	0.76437	I	0.44538
1	3101	3300	CHH	0.9365	U	0.1788
1	3151	3350	CHH	0.97311	U	0.16647
1	3601	3800	CHH	0.99999	I	0.49416
1	3651	3850	CHH	0.99999	I	0.49416
1	3701	3900	CHH	0.92307	I	0.46825
1	3751	3950	CHH	0.69649	I	0.39196
1	3801	4000	CHH	0.99527	I	0.49574
1	3851	4050	CHH	0.56259	U	0.30643
1	3901	4100	CHH	0.48267	I	0.38104
1	3951	4150	CHH	0.61692	I	0.58588
1	4001	4200	CHH	0.75357	I	0.50131
1	4051	4250	CHH	0.78289	U	0.23063
1	4101	4300	CHH	0.53439	U	0.31456
1	4151	4350	CHH	0.53439	U	0.31456
1	4201	4400	CHH	0.86907	I	0.53782
1	4251	4450	CHH	0.99997	M	0.83089
1	4301	4500	CHH	0.99979	M	0.83083
1	4351	4550	CHH	0.99693	M	0.82986
1	4401	4600	CHH	0.99999	I	0.49416
1	4451	4650	CHH	0.57942	I	0.35254
1	4501	4700	CHH	0.99994	U	0.15744
1	4551	4750	CHH	0.99999	U	0.15742
1	4601	4800	CHH	0.99997	U	0.15743
1	4651	4850	CHH	0.99999	U	0.15742
1	4701	4900	CHH	0.9986	U	0.15789
1	4751	4950	CHH	0.99999	U	0.15742
1	4801	5000	CHH	0.99948	U	0.15759
1	4851	5050	CHH	0.99999	U	0.15742
1	4901	5100	CHH	0.99999	U	0.15742
1	4951	5150	CHH	0.99999	I	0.49416
1	5001	5200	CHH	0.99999	I	0.49416
1	5051	5250	CHH	0.99992	M	0.83087
1	5101	5300	CHH	0.99999	M	0.8309
1	5151	5350	CHH	0.69986	I	0.59522
1	5201	5400	CHH	0.80595	U	0.22276
1	5251	5450	CHH	0.65908	I	0.60223
1	5301	5500	CHH	0.97137	M	0.82126
1	5351	5550	CHH	0.9993	M	0.83066
1	5401	5600	CHH	0.99883	M	0.83051
1	5451	5650	CHH	0.99942	I	0.49432
1	5501	5700	CHH	0.58749	I	0.35525
1	5551	5750	CHH	0.99999	U	0.15742
1	5601	5800	CHH	0.99985	U	0.15747
1	5651	5850	CHH	0.98157	U	0.16363
1	5701	5900	CHH	0.99968	U	0.15753
1	5751	5950	CHH	0.99968	U	0.15753
1	5801	6000	CHH	0.99999	U	0.15742
1	5851	6050	CHH	0.99999	U	0.15742
1	5901	6100	CHH	0.99999	U	0.15742
1	5951	6150	CHH	0.99999	U	0.15742
1	6001	6200	CHH	0.99114	I	0.49492
1	6051	6250	CHH	0.99476	I	0.49263
1	6101	6300	CHH	0.8162	I	0.55605
1	6151	6350	CHH	0.93981	I	0.47389
1	6201	6400	CHH	0.98419	U	0.16274
1	6251	6450	CHH	0.99856	U	0.15791
1	6301	6500	CHH	0.99999	U	0.15742
1	6351	6550	CHH	0.99952	I	0.49432
1	6401	6600	CHH	0.99137	M	0.82799
1	6451	6650	CHH	0.99999	I	0.49416
1	6501	6700	CHH	0.99999	I	0.49416
1	6551	6750	CHH	0.92373	U	0.1831
1	6601	6800	CHH	0.99995	U	0.15744
1	6651	6850	CHH	0.72855	I	0.40275
1	6701	6900	CHH	0.74282	I	0.55695
1	6751	6950	CHH	0.52033	I	0.64566
1	6801	7000	CHH	0.74282	I	0.55695
1	6851	7050	CHH	0.99922	M	0.83064
1	6901	7100	CHH	0.99755	M	0.83007
1	6951	7150	CHH	0.99271	M	0.82844
1	7001	7200	CHH	0.99854	M	0.83041
1	7051	7250	CHH	0.90273	I	0.51876
1	7101	7300	CHH	0.9974	M	0.83002
1	7151	7350	CHH	0.99989	M	0.83086
1	7201	7400	CHH	0.99902	M	0.83057
1	7251	7450	CHH	0.99852	I	0.49366
1	7301	7500	CHH	0.58575	U	0.29691
1	7351	7550	CHH	0.78433	I	0.42154
1	7401	7600	CHH	0.70543	U	0.25661
1	7451	7650	CHH	0.99624	I	0.49542
1	7501	7700	CHH	0.99967	I	0.49425
1	7551	7750	CHH	0.99482	U	0.15916
1	7601	7800	CHH	0.88837	U	0.19501
1	7651	7850	CHH	0.67345	I	0.3842
1	7701	7900	CHH	0.99989	M	0.83086
1	7751	7950	CHH	0.99999	M	0.8309
1	7801	8000	CHH	0.99999	M	0.8309
1	7851	8050	CHH	0.99999	M	0.8309
1	7901	8100	CHH	0.99999	M	0.8309
1	7951	8150	CHH	0.99999	M	0.8309
1	8001	8200	CHH	0.99999	M	0.8309
1	8051	8250	CHH	0.99999	M	0.8309
1	8101	8300	CHH	0.94749	I	0.4769
1	8151	8350	CHH	0.97543	I	0.50242
1	8201	8400	CHH	0.99035	M	0.82765
1	8251	8450	CHH	0.97321	M	0.82188
1	8301	8500	CHH	0.95424	U	0.17283
1	8351	8550	CHH	0.99997	U	0.15743
1	8401	8600	CHH	0.90585	U	0.18912
1	8451	8650	CHH	0.93406	U	0.17962
1	8501	8700	CHH	0.99811	I	0.49352
1	8551	8750	CHH	0.99999	I	0.49416
1	8601	8800	CHH	0.99999	I	0.49416
1	8651	8850	CHH	0.93709	M	0.80972
1	8701	8900	CHH	0.99999	M	0.8309
1	8751	8950	CHH	0.99999	M	0.8309
1	8801	9000	CHH	0.99999	M	0.8309
1	8851	9050	CHH	0.87579	I	0.53591
1	8901	9100	CHH	0.94326	I	0.50874
1	9051	9250	CHH	0.74282	I	0.55695
1	9101	9300	CHH	0.55595	I	0.64338
1	9151	9350	CHH	0.677	I	0.60176
1	9201	9400	CHH	0.9976	U	0.15823
1	9251	9450	CHH	0.99729	U	0.15833
1	9301	9500	CHH	0.99998	U	0.15743
1	9351	9550	CHH	0.99999	U	0.15742
1	9401	9600	CHH	0.99688	U	0.15847
1	9451	9650	CHH	0.99912	U	0.15772
1	9501	9700	CHH	0.99756	U	0.15824
1	9551	9750	CHH	0.84809	I	0.50002
1	9601	9800	CHH	0.96089	U	0.17059
1	9651	9850	CHH	0.87631	I	0.45251
1	9701	9900	CHH	0.71859	I	0.3994
1	9751	9950	CHH	0.55142	U	0.30847
1	9801	10000	CHH	0.99604	I	0.49283
1	9851	10050	CHH	0.99999	U	0.15742
1	9901	10100	CHH	0.99999	U	0.15742
1	9951	10150	CHH	0.99999	U	0.15742
1	10001	10200	CHH	0.99999	U	0.15742
1	10051	10250	CHH	0.99875	I	0.49374
1	10101	10300	CHH	0.9996	I	0.49403
1	10151	10350	CHH	0.99999	M	0.8309
1	10201	10400	CHH	0.99768	M	0.83012
1	10251	10450	CHH	0.99701	I	0.49315
1	10301	10500	CHH	0.9713	I	0.4845
1	10351	10550	CHH	0.99993	U	0.15744
1	10401	10600	CHH	0.99993	U	0.15744
1	10451	10650	CHH	0.99999	M	0.8309
1	10501	10700	CHH	0.99999	M	0.8309
1	10551	10750	CHH	0.99981	I	0.49422
1	10601	10800	CHH	0.99908	I	0.49447
1	10651	10850	CHH	0.99999	I	0.49416
1	10701	10900	CHH	0.99999	I	0.49416
1	10751	10950	CHH	0.99405	U	0.15942
1	10801	11000	CHH	0.99999	U	0.15742
1	10851	11050	CHH	0.99999	U	0.15742
1	10901	11100	CHH	0.99999	U	0.15742
1	10951	11150	CHH	0.9976	U	0.15823
1	11001	11200	CHH	0.69016	I	0.59829
1	11051	11250	CHH	0.99998	M	0.83089
1	11101	11300	CHH	0.99999	M	0.8309
1	11151	11350	CHH	0.99999	I	0.49416
1	11201	11400	CHH	0.99999	I	0.49416
1	11251	11450	CHH	0.99999	U	0.15742
1	11301	11500	CHH	0.99999	U	0.15742
1	11351	11550	CHH	0.99999	M	0.8309
1	11401	11600	CHH	0.99999	M	0.8309
1	11451	11650	CHH	0.99999	M	0.8309
1	11501	11700	CHH	0.99999	M	0.8309
1	11551	11750	CHH	0.9974	M	0.83002
1	11601	11800	CHH	0.99999	M	0.8309
1	11651	11850	CHH	0.99999	I	0.49416
1	11701	11900	CHH	0.53355	I	0.65123
1	11751	11950	CHH	0.99999	I	0.49416
1	11801	12000	CHH	0.99999	I	0.49416
1	11851	12050	CHH	0.63208	I	0.61805
1	11901	12100	CHH	0.99999	I	0.49416
1	11951	12150	CHH	0.93958	I	0.5145
1	12001	12200	CHH	0.75595	M	0.74872
1	12051	12250	CHH	0.93968	M	0.81059
1	12101	12300	CHH	0.99995	I	0.49414
1	12151	12350	CHH	0.99997	I	0.49415
1	12201	12400	CHH	0.99999	I	0.49416
1	12251	12450	CHH	0.9964	I	0.49537
1	12301	12500	CHH	0.99999	M	0.8309
1	12351	12550	CHH	0.99999	M	0.8309
1	12401	12600	CHH	0.99999	M	0.8309
1	12451	12650	CHH	0.99999	M	0.8309
1	12501	12700	CHH	0.99908	I	0.49447
1	12551	12750	CHH	0.99999	I	0.49416
1	12601	12800	CHH	0.99999	I	0.49416
