seqnames	start	end	context	posteriorMax	status	rc.meth.lvl
1	1	200	CG	0.99926	U	0.0552
1	51	250	CG	0.76587	U	0.15819
1	101	300	CG	0.76587	U	0.15819
1	151	350	CG	0.6289	M	0.73853
1	201	400	CG	0.6289	M	0.73853
1	251	450	CG	0.6289	M	0.73853
1	301	500	CG	0.6289	M	0.73853
1	351	550	CG	0.33333	U	0.48454
1	401	600	CG	0.33333	U	0.48454
1	451	650	CG	0.6289	M	0.73853
1	501	700	CG	0.77849	M	0.81782
1	551	750	CG	0.77849	M	0.81782
1	601	800	CG	0.84641	U	0.12087
1	651	850	CG	0.97985	U	0.06354
1	701	900	CG	0.99767	U	0.05588
1	751	950	CG	0.99962	U	0.05505
1	801	1000	CG	0.85986	U	0.11537
1	851	1050	CG	0.85986	U	0.11537
1	901	1100	CG	0.85986	U	0.11537
1	1151	1350	CG	0.44734	M	0.50804
1	1201	1400	CG	0.33333	U	0.48454
1	1251	1450	CG	0.61118	U	0.24578
1	1301	1500	CG	0.61118	U	0.24578
1	1351	1550	CG	0.76587	U	0.15819
1	1401	1600	CG	0.76587	U	0.15819
1	1451	1650	CG	0.85986	U	0.11537
1	1501	1700	CG	0.85986	U	0.11537
1	1551	1750	CG	0.76587	U	0.15819
1	1601	1800	CG	0.76587	U	0.15819
1	1651	1850	CG	0.33333	U	0.48454
1	1701	1900	CG	0.33333	U	0.48454
1	1751	1950	CG	0.33333	U	0.48454
1	1801	2000	CG	0.33333	U	0.48454
1	1851	2050	CG	0.33333	U	0.48454
1	1901	2100	CG	0.33333	U	0.48454
1	1951	2150	CG	0.33333	U	0.48454
1	2001	2200	CG	0.65713	I	0.51457
1	2051	2250	CG	0.65713	I	0.51457
1	2101	2300	CG	0.65713	I	0.51457
1	2151	2350	CG	0.65713	I	0.51457
1	2201	2400	CG	0.61118	U	0.24578
1	2251	2450	CG	0.61118	U	0.24578
1	2301	2500	CG	0.61118	U	0.24578
1	2351	2550	CG	0.61118	U	0.24578
1	2401	2600	CG	0.33333	U	0.48454
1	2451	2650	CG	0.33333	U	0.48454
1	2501	2700	CG	0.33333	U	0.48454
1	2551	2750	CG	0.33333	U	0.48454
1	2601	2800	CG	0.33333	U	0.48454
1	2651	2850	CG	0.33333	U	0.48454
1	2701	2900	CG	0.99917	M	0.91384
1	2751	2950	CG	0.99956	M	0.91401
1	2801	3000	CG	0.99999	M	0.9142
1	2851	3050	CG	0.99999	M	0.9142
1	2901	3100	CG	0.99999	M	0.9142
1	2951	3150	CG	0.99999	M	0.9142
1	3001	3200	CG	0.99998	M	0.91419
1	3051	3250	CG	0.99997	M	0.91419
1	3101	3300	CG	0.99993	M	0.91417
1	3151	3350	CG	0.99976	M	0.9141
1	3201	3400	CG	0.61879	I	0.63582
1	3251	3450	CG	0.61879	I	0.63582
1	3301	3500	CG	0.65713	I	0.51457
1	3351	3550	CG	0.61118	U	0.24578
1	3401	3600	CG	0.61118	U	0.24578
1	3451	3650	CG	0.61118	U	0.24578
1	3501	3700	CG	0.77849	M	0.81782
1	3551	3750	CG	0.9995	M	0.91399
1	3601	3800	CG	0.90368	M	0.87282
1	3651	3850	CG	0.60964	M	0.74648
1	3701	3900	CG	0.54711	I	0.67913
1	3751	3950	CG	0.70122	U	0.18329
1	3801	4000	CG	0.69778	I	0.38603
1	3851	4050	CG	0.65713	I	0.51457
1	3901	4100	CG	0.61118	U	0.24578
1	3951	4150	CG	0.6289	M	0.73853
1	4001	4200	CG	0.92684	M	0.88276
1	4051	4250	CG	0.92684	M	0.88276
1	4101	4300	CG	0.92684	M	0.88276
1	4151	4350	CG	0.87023	M	0.85836
1	4201	4400	CG	0.33333	U	0.48454
1	4251	4450	CG	0.33333	U	0.48454
1	4301	4500	CG	0.33333	U	0.48454
1	4351	4550	CG	0.6289	M	0.73853
1	4401	4600	CG	0.6289	M	0.73853
1	4451	4650	CG	0.6289	M	0.73853
1	4501	4700	CG	0.6289	M	0.73853
1	4551	4750	CG	0.6289	M	0.73853
1	4601	4800	CG	0.6289	M	0.73853
1	4651	4850	CG	0.6289	M	0.73853
1	4701	4900	CG	0.6289	M	0.73853
1	4751	4950	CG	0.33333	U	0.48454
1	4801	5000	CG	0.33333	U	0.48454
1	4851	5050	CG	0.33333	U	0.48454
1	4901	5100	CG	0.33333	U	0.48454
1	4951	5150	CG	0.33333	U	0.48454
1	5001	5200	CG	0.96393	M	0.8987
1	5051	5250	CG	0.96393	M	0.8987
1	5101	5300	CG	0.96393	M	0.8987
1	5151	5350	CG	0.96393	M	0.8987
1	5201	5400	CG	0.6289	M	0.73853
1	5251	5450	CG	0.6289	M	0.73853
1	5301	5500	CG	0.6289	M	0.73853
1	5351	5550	CG	0.77849	M	0.81782
1	5401	5600	CG	0.6289	M	0.73853
1	5451	5650	CG	0.77849	M	0.81782
1	5501	5700	CG	0.77849	M	0.81782
1	5551	5750	CG	0.6289	M	0.73853
1	5601	5800	CG	0.6289	M	0.73853
1	5651	5850	CG	0.6289	M	0.73853
1	5701	5900	CG	0.6289	M	0.73853
1	5751	5950	CG	0.6289	M	0.73853
1	5801	6000	CG	0.6289	M	0.73853
