seqnames	start	end	methylomeA_rep1	methylomeB_rep1	methylomeC_rep1	methylomeD_rep1
1	1	200	0.50532	0.93101	0.0763	0.93255
1	51	250	0.50532	0.75625	0.50414	0.83289
1	101	300	0.50532	0.75625	0.50414	0.83289
1	401	600	0.50874	0.49653	0.47456	0.54525
1	451	650	0.50532	0.50308	0.50414	0.49993
1	501	700	0.50532	0.50308	0.50414	0.49993
1	551	750	0.50532	0.50308	0.50414	0.49993
1	651	850	0.94107	0.69392	0.50414	0.74953
1	701	900	0.50532	0.69392	0.50414	0.50006
1	751	950	0.50532	0.94017	0.50414	0.50006
1	801	1000	0.50532	0.94017	0.50414	0.25039
1	851	1050	0.06897	0.94017	0.50414	0.25039
1	901	1100	0.07412	0.94017	0.50414	0.25039
1	1001	1200	0.50532	0.50308	0.50414	0.37483
1	1051	1250	0.50532	0.50308	0.93943	0.37483
1	1101	1300	0.50532	0.50308	0.93943	0.50006
1	1151	1350	0.50532	0.07568	0.93943	0.50006
1	1201	1400	0.50532	0.07568	0.93943	0.49993
1	1251	1450	0.50532	0.50548	0.50414	0.25039
1	1301	1500	0.50532	0.50548	0.50414	0.25039
1	1401	1600	0.24872	0.93993	0.50414	0.06736
1	1451	1650	0.24872	0.75625	0.24622	0.06742
1	1501	1700	0.24872	0.75625	0.24622	0.06742
1	1551	1750	0.24872	0.75625	0.24622	0.06742
1	1651	1850	0.06897	0.24677	0.50414	0.93256
1	1701	1900	0.06897	0.24677	0.50414	0.93256
1	1751	1950	0.06897	0.24677	0.50414	0.93256
1	1801	2000	0.06897	0.24677	0.50414	0.93256
1	1851	2050	0.50532	0.50308	0.50414	0.83289
1	1901	2100	0.50532	0.50308	0.50414	0.83289
1	1951	2150	0.50532	0.50308	0.50414	0.74164
1	2451	2650	0.50874	0.45412	0.47456	0.31542
1	2501	2700	0.50532	0.50308	0.50414	0.37483
1	2551	2750	0.50532	0.50308	0.50414	0.37483
1	2601	2800	0.50532	0.50308	0.50414	0.37483
1	2701	2900	0.50532	0.83991	0.75782	0.06753
1	2751	2950	0.50532	0.83991	0.75782	0.06753
1	2801	3000	0.50532	0.83991	0.84166	0.06736
1	2951	3150	0.50532	0.50308	0.75782	0.08564
1	3001	3200	0.24872	0.24677	0.50414	0.23202
1	3051	3250	0.24872	0.24677	0.50414	0.23202
1	3101	3300	0.1674	0.49667	0.50414	0.37441
1	3151	3350	0.37303	0.49667	0.50414	0.45804
1	3201	3400	0.61841	0.75625	0.61824	0.37483
1	3251	3450	0.61841	0.75625	0.61824	0.37483
1	3301	3500	0.8409	0.50308	0.49545	0.25039
1	3351	3550	0.49433	0.50308	0.49545	0.06781
1	3401	3600	0.24872	0.50308	0.50414	0.06781
1	3451	3650	0.24872	0.06599	0.06615	0.06781
1	3501	3700	0.1674	0.06599	0.06615	0.06781
1	3551	3750	0.10119	0.06599	0.06615	0.9325
1	3601	3800	0.10119	0.06599	0.06615	0.93257
1	3651	3850	0.0867	0.75625	0.49545	0.93257
1	3701	3900	0.10119	0.50308	0.06615	0.93257
1	3751	3950	0.1674	0.50308	0.06615	0.93256
1	3801	4000	0.1674	0.24677	0.06616	0.06729
1	3851	4050	0.24872	0.24677	0.06615	0.06729
1	3901	4100	0.24872	0.16489	0.92903	0.06732
1	3951	4150	0.75652	0.09842	0.58788	0.06771
1	4001	4200	0.75652	0.12338	0.53189	0.87455
1	4051	4250	0.75652	0.12338	0.55332	0.87455
1	4101	4300	0.75652	0.16489	0.37488	0.93257
1	4151	4350	0.1674	0.06599	0.93208	0.93255
1	4201	4400	0.1674	0.06599	0.93208	0.93255
1	4251	4450	0.1674	0.06599	0.82244	0.93237
1	4301	4500	0.06897	0.06599	0.06615	0.49993
1	4351	4550	0.06898	0.49667	0.06615	0.49998
1	4401	4600	0.06898	0.49667	0.06615	0.49994
1	4451	4650	0.06898	0.37512	0.06615	0.43039
1	4501	4700	0.94167	0.49667	0.06838	0.48906
1	4551	4750	0.94167	0.89888	0.52561	0.62581
1	4601	4800	0.50532	0.89888	0.85061	0.4685
1	4651	4850	0.50532	0.89888	0.50402	0.06729
1	4701	4900	0.06897	0.92749	0.22061	0.06729
1	4751	4950	0.06897	0.46088	0.41912	0.06729
1	4801	5000	0.50532	0.46088	0.09538	0.06731
1	4851	5050	0.94167	0.50155	0.76123	0.83289
1	4901	5100	0.94167	0.50155	0.94189	0.06729
1	4951	5150	0.94167	0.69392	0.94168	0.06729
1	5001	5200	0.94164	0.69392	0.94007	0.22898
1	5051	5250	0.23951	0.83991	0.90256	0.48718
1	5101	5300	0.23951	0.50308	0.50212	0.93233
1	5151	5350	0.42878	0.61985	0.50577	0.93077
1	5201	5400	0.30766	0.61985	0.5116	0.54199
1	5251	5450	0.75652	0.37741	0.94213	0.16699
1	5301	5500	0.75652	0.48117	0.94213	0.16699
1	5351	5550	0.50532	0.23183	0.94213	0.82561
1	5401	5600	0.50532	0.4917	0.94213	0.91423
1	5451	5650	0.50532	0.88185	0.76123	0.91423
1	5501	5700	0.50532	0.83991	0.76123	0.91423
1	5551	5750	0.75652	0.88185	0.76123	0.25039
1	5601	5800	0.94167	0.83991	0.61824	0.29977
1	5651	5850	0.94167	0.83991	0.61824	0.29977
1	5701	5900	0.94167	0.88954	0.61824	0.32198
